compound,AreaShape_Area,AreaShape_Perimeter,AreaShape_Eccentricity,AreaShape_Solidity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxis,AreaShape_MinorAxis,AreaShape_AspectRatio,Intensity_Nuc_Mean_DNA,Intensity_Nuc_Std_DNA,Intensity_Nuc_P95_DNA,Intensity_Cyto_Mean_DNA,Intensity_Cyto_Std_DNA,Intensity_NucCytoRatio_DNA,Intensity_IntegratedNuc_DNA,Texture_LapRMS_Nuc_DNA,Texture_LapRMS_Cyto_DNA,Texture_CV_Cyto_DNA,Intensity_Nuc_Mean_RNA,Intensity_Nuc_Std_RNA,Intensity_Nuc_P95_RNA,Intensity_Cyto_Mean_RNA,Intensity_Cyto_Std_RNA,Intensity_NucCytoRatio_RNA,Intensity_IntegratedNuc_RNA,Texture_LapRMS_Nuc_RNA,Texture_LapRMS_Cyto_RNA,Texture_CV_Cyto_RNA,Intensity_Nuc_Mean_ER,Intensity_Nuc_Std_ER,Intensity_Nuc_P95_ER,Intensity_Cyto_Mean_ER,Intensity_Cyto_Std_ER,Intensity_NucCytoRatio_ER,Intensity_IntegratedNuc_ER,Texture_LapRMS_Nuc_ER,Texture_LapRMS_Cyto_ER,Texture_CV_Cyto_ER,Intensity_Nuc_Mean_AGP,Intensity_Nuc_Std_AGP,Intensity_Nuc_P95_AGP,Intensity_Cyto_Mean_AGP,Intensity_Cyto_Std_AGP,Intensity_NucCytoRatio_AGP,Intensity_IntegratedNuc_AGP,Texture_LapRMS_Nuc_AGP,Texture_LapRMS_Cyto_AGP,Texture_CV_Cyto_AGP,Intensity_Nuc_Mean_Mito,Intensity_Nuc_Std_Mito,Intensity_Nuc_P95_Mito,Intensity_Cyto_Mean_Mito,Intensity_Cyto_Std_Mito,Intensity_NucCytoRatio_Mito,Intensity_IntegratedNuc_Mito,Texture_LapRMS_Nuc_Mito,Texture_LapRMS_Cyto_Mito,Texture_CV_Cyto_Mito
AMG900,1747.0,179.92388155425118,0.5788289542419222,0.8872524123920772,0.6463189049204587,0.6781490311161232,55.371220226486656,45.152405148347796,1.2263182890161675,15211.045,10819.561,40573.5,1726.9612,1991.1952,8.807983,26573696.0,0.021684763953089714,0.009402905590832233,1.1530051,28005.66,17273.918,52961.8,7984.1626,7117.723,3.5076516,48925890.0,0.01945367641746998,0.012473528273403645,0.8914802,14364.072,8598.459,27536.5,4704.268,3849.8577,3.0534127,25094034.0,0.018429111689329147,0.011448036879301071,0.81837547,10500.368,4844.259,17117.5,3434.7517,3096.388,3.0570967,18344144.0,0.01969512179493904,0.015089073218405247,0.9014881,2077.3286,1231.4613,3972.0,718.7849,594.3607,2.890056,3629093.0,0.015072545036673546,0.012517135590314865,0.8268965
AMG900,1746.0,172.12489168102783,0.8628438792788747,0.9535772801747678,0.7558441558441559,0.7405710715310553,66.56849559786824,33.64841165100095,1.9783547671822423,12969.35,5367.083,24737.0,1410.1766,1477.2668,9.196968,22644484.0,0.022042641416192055,0.008129497990012169,1.0475757,18839.86,8576.0625,34585.5,8544.534,7551.8003,2.204902,32894396.0,0.018615063279867172,0.008954214863479137,0.8838165,10189.696,6686.7314,25200.5,4493.7266,4766.396,2.267538,17791210.0,0.017399761825799942,0.011895458213984966,1.0606778,8197.011,4276.131,16877.75,2951.8994,2735.0525,2.7768598,14311980.0,0.017065566033124924,0.012078352272510529,0.92653984,1486.2915,530.83203,2461.75,747.89343,576.2543,1.9873039,2595065.0,0.011584064923226833,0.010341612622141838,0.77050316
AMG900,395.0,91.84062043356596,0.9061563931795094,0.8797327394209354,0.6279809220985691,0.5884876344922414,35.26625764602014,14.915608879977155,2.3643860555610217,7911.638,1077.5596,9995.099999999999,1801.6727,1984.9745,4.391274,3125097.0,0.015617966651916504,0.009721972979605198,1.1017398,10818.14,2744.4202,15812.8,7569.736,5434.1636,1.4291304,4273165.0,0.009902799502015114,0.008551210165023804,0.7178802,5666.9976,1570.5415,8391.999999999998,4599.6377,3367.6318,1.232053,2238464.0,0.01080864854156971,0.010806160978972912,0.73215157,4566.577,1294.5681,6937.799999999999,3073.5508,2546.556,1.4857659,1803798.0,0.013146543875336647,0.013795186765491962,0.8285387,907.94684,201.33617,1265.8999999999999,695.9912,446.55865,1.3045378,358639.0,0.007948807440698147,0.011615942232310772,0.6416154
AMG900,1016.0,116.5685424949238,0.5414139162711883,0.9778633301251203,0.7845559845559845,0.9395953077610752,39.22606087594148,32.97955349647011,1.189405456327356,23662.326,16894.36,59161.75,1041.6014,1294.7103,22.717257,24040924.0,0.026047179475426674,0.004414976108819246,1.2429998,51720.363,13022.158,65094.0,6443.074,6469.7256,8.027281,52547890.0,0.025344816967844963,0.0073725376278162,1.0041364,26663.066,6624.907,35860.25,3684.2542,3601.1116,7.2370324,27089676.0,0.024449460208415985,0.006402055267244577,0.97743297,21753.248,4301.1943,28276.5,3890.5383,3436.2844,5.591321,22101300.0,0.021621543914079666,0.010418777354061604,0.88324136,3926.0798,1015.48254,5223.0,716.8087,486.392,5.477165,3988897.0,0.02105487696826458,0.010406178422272205,0.67855203
AMG900,2219.0,187.095454429505,0.8189086044982803,0.9639443961772372,0.7251633986928104,0.7966007184618616,70.4039285522318,40.40650059203947,1.7423911380759896,12907.8,3412.1838,19038.8,1142.3809,1221.632,11.299034,28642408.0,0.027261480689048767,0.007822864688932896,1.0693736,12593.458,3136.8896,18438.0,6782.4683,4707.337,1.8567662,27944884.0,0.011999689042568207,0.004944799933582544,0.6940448,6278.4536,2665.7842,10835.699999999999,3592.4978,3058.0369,1.747657,13931889.0,0.017694875597953796,0.009270007722079754,0.8512286,6700.023,1710.2269,10140.1,3165.4546,1808.4854,2.116607,14867351.0,0.01800686866044998,0.012329736724495888,0.57131934,1169.5863,197.7101,1498.5999999999995,796.65186,406.21738,1.4681273,2595312.0,0.009728523902595043,0.009385041892528534,0.50990576
AMG900,2402.0,214.40916292848976,0.7908538791935807,0.917494270435447,0.6906267970097757,0.6565929034253271,71.35546336923193,43.66990162662087,1.633973531228065,9320.416,1996.4358,12528.0,1629.5848,1752.1866,5.7195034,22387640.0,0.02159157022833824,0.010383960790932178,1.075235,12200.951,3786.7522,18962.899999999994,7273.6577,3721.6472,1.6774162,29306684.0,0.016604436561465263,0.008427395485341549,0.51166105,6141.091,2351.0215,10604.649999999998,3744.3872,2201.248,1.640079,14750900.0,0.016961118206381798,0.010656044818460941,0.58787936,7281.8643,2697.147,13014.599999999999,2365.3845,1218.2147,3.078512,17491038.0,0.024845490232110023,0.00884490367025137,0.5150176,1111.0271,244.82622,1524.0,715.10455,303.0221,1.5536568,2668687.0,0.012271354906260967,0.01001303642988205,0.42374516
AMG900,2155.0,186.26702730475878,0.8072041834724247,0.9724729241877257,0.7098155467720685,0.7805220407186776,69.1285294544293,40.80465713288593,1.694133324764936,13133.953,3566.5627,19846.2,1152.8046,1107.581,11.3930435,28303668.0,0.028825901448726654,0.010784152895212173,0.9607709,14184.268,3548.5117,20057.4,8477.402,8065.1147,1.6731856,30567096.0,0.013057846575975418,0.009387608617544174,0.9513663,7647.463,2801.254,12581.199999999997,5017.725,6064.75,1.5240897,16480283.0,0.014082261361181736,0.013573055155575275,1.2086653,6498.8027,1406.8093,9547.099999999999,3100.0496,1813.8412,2.0963545,14004920.0,0.014399698935449123,0.013988753780722618,0.5851007,1451.9634,290.8287,1907.0,939.72076,566.57513,1.5451009,3128981.0,0.00981783214956522,0.009768623858690262,0.6029186
AMG900,1830.0,173.33809511662426,0.4821168603751742,0.9298780487804879,0.6524064171122995,0.765372606886885,52.821254136235986,46.27706620159906,1.1414131981947204,19996.875,8745.466,34730.2,1288.8683,981.64655,15.515065,36594280.0,0.04198697581887245,0.012301596812903881,0.76163447,28517.896,7705.354,40531.1,10965.464,9250.114,2.6007013,52187750.0,0.02047860063612461,0.011530963703989983,0.84356797,14025.742,5174.52,23480.899999999998,4805.974,5196.736,2.9183974,25667108.0,0.021346982568502426,0.01080356352031231,1.0813075,15847.255,6694.707,27700.5,4980.952,3360.8286,3.1815715,29000476.0,0.020729204639792442,0.01677181012928486,0.6747362,2437.2158,607.93665,3386.8499999999995,1107.8799,664.35486,2.1998918,4460105.0,0.01814659871160984,0.010479949414730072,0.59966326
AMG900,1203.0,129.49747468305833,0.6390663999658588,0.9709443099273608,0.8228454172366622,0.9014733506274331,44.81538209315451,34.469821462175396,1.3001338617994167,28279.934,17346.469,57780.899999999994,1243.2155,1038.6553,22.747412,34020760.0,0.04478061571717262,0.0076568895019590855,0.8354588,54979.71,10173.143,65094.0,12951.07,14260.116,4.245187,66140590.0,0.008475754410028458,0.022480258718132973,1.1010762,32041.227,7266.2866,45109.2,6713.687,7562.9844,4.772523,38545596.0,0.014032821170985699,0.020977113395929337,1.1265024,23552.555,5834.3228,33177.0,5300.3735,4671.1987,4.443565,28333724.0,0.014345144852995872,0.017878569662570953,0.88129616,4203.7163,704.5381,5219.7,1414.4165,1180.5323,2.9720497,5057071.0,0.013368848711252213,0.02544672042131424,0.83464265
AMG900,1645.0,170.8528137423857,0.83925962389723,0.9432339449541285,0.6450980392156863,0.7081601680294265,62.92453590040915,34.21401407899339,1.8391450870140185,14629.163,4751.4834,22162.8,1268.6931,1329.876,11.530891,24064974.0,0.023654384538531303,0.009042815305292606,1.0482252,11771.025,2791.0842,16843.399999999998,6976.2056,3949.0486,1.6873106,19363336.0,0.01139866653829813,0.006206152960658073,0.566074,5428.565,1841.9015,9419.999999999998,3704.196,2439.833,1.4655178,8929989.0,0.013424034230411053,0.01225136686116457,0.6586673,6146.464,1627.1431,9078.599999999999,2915.966,2056.944,2.1078653,10110933.0,0.01832355372607708,0.015809379518032074,0.70540744,1039.8906,165.74557,1309.0,691.3585,336.53857,1.5041264,1710620.0,0.008494873531162739,0.012099973857402802,0.48677865
